Standard Make,Standard Model,Standard Hierarchy Value,Classification Type,Confirmed Model Years,First Confirmed Model Year,Last Confirmed Model Year,Non-Contiguous Year Segments,Lifecycle Status,Validation Status,Source Organization Count,Source Dataset Count,Primary Source Organization,Primary Source Document,Primary Source URL,Secondary Source Organization,Secondary Source Document,Secondary Source URL,Source Access Date,Catalog Origin,Present in Original Source,Raw Source Value,Notes
Volkswagen,Jetta,SE,Trim,2022-2026,2022,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Jetta SE/SEL,Value explicit in EPA certification model strings; observed in 5 model year(s). Carried forward from V3 unchanged.
Volkswagen,Jetta,Sport,Trim,2023-2026,2023,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Jetta Sport/SE/SEL,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Volkswagen,Tiguan,Limited,Trim,2018,2018,2018,1,Discontinued,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2018&make=VOLKSWAGEN&issueType=r,2026-07-18,Added - External Research (V2),No,TIGUAN LIMITED,Value explicit in EPA certification model strings and NHTSA recall records; observed in 1 model year(s). Carried forward from V3 unchanged.
Volvo,940,SE,Trim,1991,1991,1991,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,940 SE,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
Acura,MDX,Sport Hybrid,Sub-model,2017-2020,2017,2020,1,Discontinued,Manufacturer Verified,1,1,"Acura (American Honda Motor Co., Inc.)",Acura Electrifies SUV Lineup with Powerful and Efficient 2017 MDX Sport Hybrid (official press release; inspected 2026-07-18),https://acuranews.com/en-US/releases/release-ecb7d1f3ec084c759f624ced3dcc1d43-acura-electrifies-suv-lineup-with-powerful-and-efficient-2017-mdx-sport-hybrid,,,,2026-07-18,Added - V4 High-Priority Research,No,Sport,Official designation is 'MDX Sport Hybrid' (2017-2020); the recall-string residual 'Sport' is a fragment of this sub-model name.
Acura,RLX,Sport Hybrid,Sub-model,2014; 2016; 2018,2014,2018,3,Discontinued,Manufacturer Verified,1,1,"Acura (American Honda Motor Co., Inc.)","2017 MDX Sport Hybrid press release, which documents the Sport Hybrid SH-AWD system as 'first offered in the RLX Sport Hybrid' (inspected 2026-07-18)",https://acuranews.com/en-US/releases/release-ecb7d1f3ec084c759f624ced3dcc1d43-acura-electrifies-suv-lineup-with-powerful-and-efficient-2017-mdx-sport-hybrid,,,,2026-07-18,Added - V4 High-Priority Research,No,Sport,Official designation 'RLX Sport Hybrid'; candidate years match the RLX Sport Hybrid availability.
Acura,TSX,Sport Wagon,Sub-model,2011-2012,2011,2012,1,Discontinued,Manufacturer Verified,1,1,"Acura (American Honda Motor Co., Inc.)",Acura TSX Receives Numerous Updates and All-New Sport Wagon Model for 2011 (official press release),https://acuranews.com/en-US/releases/release-164e42d0f9a640e79f8dee69077ba28a-acura-tsx-receives-numerous-updates-and-all-new-sport-wagon-model-for,,,,2026-07-18,Added - V4 High-Priority Research,No,Sport,"Official designation 'TSX Sport Wagon', announced by Acura as an all-new model variant for 2011."
GMC,Acadia,Denali,Trim,2013-2017,2013,2017,1,Discontinued,Manufacturer Verified,1,1,GMC (General Motors),GMC Newsroom: 'GMC celebrates 25 years of Denali as sales reach 2 million vehicles' - Denali described as GMC's premium trim level (newsroom inspected 2026-07-18); Acadia Denali lineage confirmed by 'GMC introduces first ever Acadia Denali Ultimate for 2026',https://news.gmc.com,,,,2026-07-18,Added - V4 High-Priority Research,No,Denali,Denali is GMC's official premium trim; Acadia Denali offered from MY2011 onward - candidate years 2013-2017 are within that range.
GMC,Sierra 1500,Limited,Edition,2022,2022,2022,1,Discontinued,Government Verified,1,1,GMC (GMC Truck Communications),"2022 Sierra 1500 Limited model-year designation, announced via GMC Truck Communications (as quoted by GM Authority trade coverage); NHTSA recall products name 'SIERRA 1500 LIMITED' directly",https://gmauthority.com/blog/2021/07/refreshed-2022-gmc-sierra-1500-delayed-limited-model-to-be-introduced/,,,,2026-07-18,Added - V4 High-Priority Research,No,Limited,Official GMC carryover model-year designation for MY2022 only; not a trim level (its own trims were Pro/SLE/Elevation/SLT/AT4/Denali).
Genesis,G80,Sport,Trim,2018-2019,2018,2019,1,Discontinued,Manufacturer Verified,1,1,Genesis Motor America,Genesis Debuts 2018 G80 Sport Trim with 3.3-Liter Turbocharged Engine and Performance Styling (official Genesis newsroom),https://www.genesisnewsusa.com/en-us/releases/18,,,,2026-07-18,Added - V4 High-Priority Research,No,Sport,Official release names the 'G80 Sport trim' explicitly (also styled '3.3T Sport'); US retail deliveries from May 2017 (MY2018).
