Standard Make,Standard Model,Standard Hierarchy Value,Classification Type,Confirmed Model Years,First Confirmed Model Year,Last Confirmed Model Year,Non-Contiguous Year Segments,Lifecycle Status,Validation Status,Source Organization Count,Source Dataset Count,Primary Source Organization,Primary Source Document,Primary Source URL,Secondary Source Organization,Secondary Source Document,Secondary Source URL,Source Access Date,Catalog Origin,Present in Original Source,Raw Source Value,Notes
Lucid,Air,Touring,Trim,2022-2026,2022,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Air G Touring AWD w/19 inch wheels,Value explicit in EPA certification model strings; observed in 5 model year(s). Carried forward from V3 unchanged.
Lucid,Gravity,GT,Trim,2025-2026,2025,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Gravity GT w/20F21R wheels (2R),Value explicit in EPA certification model strings; observed in 2 model year(s). Carried forward from V3 unchanged.
Lucid,Gravity,Touring,Trim,2026,2026,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Gravity Touring w/20F21R wheels,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
Maserati,Ghibli,GT,Trim,2022-2024,2022,2024,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Ghibli GT,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Maserati,Grecale,GT,Trim,2023-2024,2023,2024,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Grecale GT,Value explicit in EPA certification model strings; observed in 2 model year(s). Carried forward from V3 unchanged.
Maserati,Levante,GT,Trim,2022-2024,2022,2024,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Levante GT,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Maserati,Quattroporte,GT,Trim,2022-2024,2022,2024,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Quattroporte GT,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Mazda,Mazda6,Sport,Trim,2004-2007,2004,2007,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,6 Sport Wagon,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Mercedes-Benz,SLS AMG,GT,Trim,2013-2015,2013,2015,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,SLS AMG GT Coupe,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Mini,Clubman,John Cooper Works,Trim,2009-2014; 2017-2024,2009,2024,2,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,John Cooper Works Clubman,Value explicit in EPA certification model strings; observed in 14 model year(s). Carried forward from V3 unchanged.
Mini,Convertible,JCW,Trim,2011-2014; 2025-2026,2011,2026,2,Active,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2011&make=MINI&issueType=r,2026-07-18,Added - External Research (V2),No,JCW CONVERTIBLE,Value explicit in EPA certification model strings and NHTSA recall records; observed in 6 model year(s). Carried forward from V3 unchanged.
Mini,Convertible,John Cooper Works,Trim,2009-2015; 2017-2024,2009,2024,2,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,John Cooper Works Convertible,Value explicit in EPA certification model strings; observed in 15 model year(s). Carried forward from V3 unchanged.
Mini,Cooper,JCW,Trim,2015; 2017; 2026,2015,2026,3,Active,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2015&make=MINI&issueType=r,2026-07-18,Added - External Research (V2),No,JCW,Value explicit in EPA certification model strings and NHTSA recall records; observed in 3 model year(s). Carried forward from V3 unchanged.
Mini,Countryman,JCW,Trim,2013-2016; 2018-2026,2013,2026,2,Active,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2013&make=MINI&issueType=r,2026-07-18,Added - External Research (V2),No,JCW COUNTRYMAN,Value explicit in EPA certification model strings and NHTSA recall records; observed in 13 model year(s). Carried forward from V3 unchanged.
Mini,Countryman,SE,Trim,2018-2023; 2025-2027,2018,2027,2,Active,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2018&make=MINI&issueType=r,2026-07-18,Added - External Research (V2),No,COUNTRYMAN SE,Value explicit in EPA certification model strings and NHTSA recall records; observed in 9 model year(s). Carried forward from V3 unchanged.
Mini,Coupe,John Cooper Works,Trim,2012-2015,2012,2015,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,John Cooper Works Coupe,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Mini,Hardtop,JCW,Trim,2011-2013; 2016; 2025,2011,2025,3,Active,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2011&make=MINI&issueType=r,2026-07-18,Added - External Research (V2),No,COOPER JCW HARDTOP,Value explicit in EPA certification model strings and NHTSA recall records; observed in 5 model year(s). Carried forward from V3 unchanged.
Mini,Hardtop,John Cooper Works,Trim,2015-2024,2015,2024,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,John Cooper Works Hardtop,Value explicit in EPA certification model strings; observed in 10 model year(s). Carried forward from V3 unchanged.
Mini,Hardtop,SE,Trim,2020-2024,2020,2024,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Cooper SE Hardtop 2 door,Value explicit in EPA certification model strings; observed in 5 model year(s). Carried forward from V3 unchanged.
Mini,Paceman,JCW,Trim,2013-2016,2013,2016,1,Discontinued,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2013&make=MINI&issueType=r,2026-07-18,Added - External Research (V2),No,JCW PACEMAN,Value explicit in EPA certification model strings and NHTSA recall records; observed in 4 model year(s). Carried forward from V3 unchanged.
Mini,Roadster,John Cooper Works,Trim,2012-2015,2012,2015,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,John Cooper Works Roadster,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Nissan,Altima,Platinum,Trim,2019-2022,2019,2022,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Altima AWD SR/Platinum,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Nissan,Altima,SR,Trim,2016-2025,2016,2025,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Altima AWD SR/Platinum,Value explicit in EPA certification model strings; observed in 10 model year(s). Carried forward from V3 unchanged.
Nissan,JUKE,Nismo,Trim,2015-2017,2015,2017,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Juke Nismo RS,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Nissan,JUKE,RS,Trim,2015-2017,2015,2017,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Juke Nismo RS,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Nissan,Pathfinder,Platinum,Trim,2015-2020; 2022-2026,2015,2026,2,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Pathfinder 4WD Platinum,Value explicit in EPA certification model strings; observed in 11 model year(s). Carried forward from V3 unchanged.
Nissan,Rogue,Platinum,Trim,2021-2025,2021,2025,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Rogue AWD  SV/SL/Platinum,Value explicit in EPA certification model strings; observed in 5 model year(s). Carried forward from V3 unchanged.
Nissan,Sentra,Nismo,Trim,2017-2019,2017,2019,1,Discontinued,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2017&make=NISSAN&issueType=r,2026-07-18,Added - External Research (V2),No,SENTRA NISMO,Value explicit in EPA certification model strings and NHTSA recall records; observed in 3 model year(s). Carried forward from V3 unchanged.
Nissan,Sentra,SR,Trim,2019-2026,2019,2026,1,Active,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2019&make=NISSAN&issueType=r,2026-07-18,Added - External Research (V2),No,SENTRA SR TURBO,Value explicit in EPA certification model strings and NHTSA recall records; observed in 8 model year(s). Carried forward from V3 unchanged.
Nissan,Z,Nismo,Trim,2024-2026,2024,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Z NISMO,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Oldsmobile,Ninety-Eight,Touring,Trim,1988-1991,1988,1991,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Ninety-Eight/Touring,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Pontiac,G5,GT,Trim,2009-2010,2009,2010,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,G5 GT,Value explicit in EPA certification model strings; observed in 2 model year(s). Carried forward from V3 unchanged.
Porsche,718 Boxster,GTS,Trim,2021-2025,2021,2025,1,Active,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2021&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,718 BOXSTER GTS 4.0,Value explicit in EPA certification model strings and NHTSA recall records; observed in 5 model year(s). Carried forward from V3 unchanged.
Porsche,718 Boxster,RS,Trim,2024-2025,2024,2025,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,718 Spyder RS,Value explicit in EPA certification model strings; observed in 2 model year(s). Carried forward from V3 unchanged.
Porsche,718 Cayman,GTS,Trim,2019; 2021-2025,2019,2025,2,Active,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2019&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,718 CAYMAN GTS,Value explicit in EPA certification model strings and NHTSA recall records; observed in 6 model year(s). Carried forward from V3 unchanged.
Porsche,718 GT4,RS,Trim,2023-2025,2023,2025,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,718 GT4 RS,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Porsche,911,GTS,Trim,2011-2012; 2015-2019; 2022-2026,2011,2026,3,Active,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2011&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,911 C4 GTS,Value explicit in EPA certification model strings and NHTSA recall records; observed in 12 model year(s). Carried forward from V3 unchanged.
Porsche,911,RS,Trim,2007-2008; 2010-2011; 2015-2016; 2018-2019; 2023-2024,2007,2024,5,Discontinued,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2007&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,911 GT2 RS,Value explicit in EPA certification model strings and NHTSA recall records; observed in 10 model year(s). Carried forward from V3 unchanged.
Porsche,911,Sport,Trim,2023,2023,2023,1,Discontinued,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2023&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,911 SPORT CLASSIC II,Value explicit in EPA certification model strings and NHTSA recall records; observed in 1 model year(s). Carried forward from V3 unchanged.
Porsche,911,Touring,Trim,2018-2019; 2022-2024; 2026,2018,2026,3,Active,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2018&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,911 GT3 TOURING,Value explicit in EPA certification model strings and NHTSA recall records; observed in 6 model year(s). Carried forward from V3 unchanged.
Porsche,928,GTS,Trim,1993-1995,1993,1995,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,928 GTS,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Porsche,Boxster,GTS,Trim,2015-2016; 2018-2019,2015,2019,2,Discontinued,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2015&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,BOXSTER GTS,Value explicit in EPA certification model strings and NHTSA recall records; observed in 4 model year(s). Carried forward from V3 unchanged.
Porsche,Cayenne,GT,Trim,2022-2023; 2025-2026,2022,2026,2,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Cayenne Turbo GT,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Porsche,Cayenne,GTS,Trim,2008-2010; 2012-2018; 2021-2023; 2025-2026,2008,2026,4,Active,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2008&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,CAYENNE GTS,Value explicit in EPA certification model strings and NHTSA recall records; observed in 15 model year(s). Carried forward from V3 unchanged.
Porsche,Cayenne,Platinum,Trim,2017-2018; 2023,2017,2023,2,Discontinued,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2017&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,CAYENNE COUPE PLATINUM EDITION,Value explicit in EPA certification model strings and NHTSA recall records; observed in 3 model year(s). Carried forward from V3 unchanged.
Porsche,Cayman,GTS,Trim,2015-2016; 2018-2019,2015,2019,2,Discontinued,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2015&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,CAYMAN GTS,Value explicit in EPA certification model strings and NHTSA recall records; observed in 4 model year(s). Carried forward from V3 unchanged.
Porsche,Macan,GTS,Trim,2017-2018; 2020-2026,2017,2026,2,Active,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2017&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,MACAN GTS,Value explicit in EPA certification model strings and NHTSA recall records; observed in 9 model year(s). Carried forward from V3 unchanged.
Porsche,Panamera,GTS,Trim,2013-2016; 2019-2023; 2025,2013,2025,3,Active,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2013&make=PORSCHE&issueType=r,2026-07-18,Added - External Research (V2),No,PANAMERA GTS,Value explicit in EPA certification model strings and NHTSA recall records; observed in 10 model year(s). Carried forward from V3 unchanged.
Porsche,Taycan,GT,Trim,2025-2026,2025,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Taycan Turbo GT,Value explicit in EPA certification model strings; observed in 2 model year(s). Carried forward from V3 unchanged.
Porsche,Taycan,GTS,Trim,2022-2026,2022,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Taycan GTS,Value explicit in EPA certification model strings; observed in 5 model year(s). Carried forward from V3 unchanged.
Porsche,Taycan,Sport,Trim,2023-2026,2023,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Taycan GTS Sport Turismo,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Ram,1500,TRX,Sub-model,2021-2024,2021,2024,1,Discontinued,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=2021&make=RAM&issueType=r,2026-07-18,Added - External Research (V2),No,1500 CREW CAB TRX,Value explicit in EPA certification model strings and NHTSA recall records; observed in 4 model year(s). Carried forward from V3 unchanged.
Saab,9-3,Sport,Trim,2003-2012,2003,2012,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,9-3 Sport Sedan,Value explicit in EPA certification model strings; observed in 10 model year(s). Carried forward from V3 unchanged.
Suzuki,Sidekick,Sport,Trim,1996-1998,1996,1998,1,Discontinued,Fully Verified,2,2,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,NHTSA,NHTSA Product Information Catalog (vehicle products API),https://api.nhtsa.gov/products/vehicle/models?modelYear=1996&make=SUZUKI&issueType=r,2026-07-18,Added - External Research (V2),No,SIDEKICK SPORT,Value explicit in EPA certification model strings and NHTSA recall records; observed in 3 model year(s). Carried forward from V3 unchanged.
Suzuki,Swift,GT,Trim,1990-1994,1990,1994,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Swift GT,Value explicit in EPA certification model strings; observed in 5 model year(s). Carried forward from V3 unchanged.
Suzuki,SX4,Anniversary,Edition,2011,2011,2011,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,SX4 Sport/Anniversary Edition,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
Suzuki,SX4,Sport,Trim,2009-2013,2009,2013,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,SX4 Sport,Value explicit in EPA certification model strings; observed in 5 model year(s). Carried forward from V3 unchanged.
Toyota,Avalon,XLE,Trim,2019-2022,2019,2022,1,Discontinued,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Avalon Hybrid XLE,Value explicit in EPA certification model strings; observed in 4 model year(s). Carried forward from V3 unchanged.
Toyota,bZ,Limited,Trim,2026,2026,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,bZ AWD LIMITED,Value explicit in EPA certification model strings; observed in 1 model year(s). Carried forward from V3 unchanged.
Toyota,bZ4X,Limited,Trim,2023-2025,2023,2025,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,bZ4X LIMITED,Value explicit in EPA certification model strings; observed in 3 model year(s). Carried forward from V3 unchanged.
Toyota,Camry,LE,Trim,2012-2026,2012,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Camry AWD LE/SE,Value explicit in EPA certification model strings; observed in 15 model year(s). Carried forward from V3 unchanged.
Toyota,Camry,SE,Trim,2014-2026,2014,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Camry AWD LE/SE,Value explicit in EPA certification model strings; observed in 13 model year(s). Carried forward from V3 unchanged.
Toyota,Camry,XLE,Trim,2012-2026,2012,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Camry AWD XLE/XSE,Value explicit in EPA certification model strings; observed in 15 model year(s). Carried forward from V3 unchanged.
Toyota,Camry,XSE,Trim,2018-2026,2018,2026,1,Active,Government Verified,1,1,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,,,,2026-07-18,Added - External Research (V2),No,Camry AWD XLE/XSE,Value explicit in EPA certification model strings; observed in 9 model year(s). Carried forward from V3 unchanged.
